TRADEDATE,IMOEX,MOEX10
2015-09-14,1729.75,3868.4
2015-09-15,1716.26,3854.79
2015-09-16,1731.81,3910.5
2015-09-17,1729.2,3904.95
2015-09-18,1710.84,3900.77
2015-09-21,1699.72,3855.87
2015-09-22,1664.25,3768.49
2015-09-23,1640.7,3719.7
2015-09-24,1621.43,3666.23
2015-09-25,1639.64,3720.19
2015-09-28,1616.36,3679.97
2015-09-29,1630.51,3707.77
2015-09-30,1630.51,3716.04
2015-10-01,1626.97,3697.76
2015-10-02,1612.56,3664.31
2015-10-05,1652.47,3769.88
2015-10-06,1670.69,3769.88
2015-10-07,1679.49,3832.47
2015-10-08,1689.32,3868.69
2015-10-09,1728.44,3971.71
2015-10-12,1710.6,3920.78
2015-10-13,1720.81,3946.45
2015-10-14,1723.01,3955.79
2015-10-15,1731.91,3977.76
2015-10-16,1717.0,3934.86
2015-10-19,1716.08,3951.15
2015-10-20,1722.62,3970.37
2015-10-21,1709.94,3950.74
2015-10-22,1712.1,3953.15
2015-10-23,1725.45,3978.31
2015-10-26,1712.13,3936.39
2015-10-27,1725.89,3949.55
2015-10-28,1726.61,3972.65
2015-10-29,1708.6,3950.69
2015-10-30,1711.53,3974.84
2015-11-02,1735.75,4029.57
2015-11-03,1735.75,4086.16
2015-11-05,1766.28,4084.48
2015-11-06,1754.36,4047.59
2015-11-09,1751.44,4042.16
2015-11-10,1746.94,4025.21
2015-11-11,1740.56,4001.28
2015-11-12,1739.96,4016.37
2015-11-13,1728.17,3998.93
2015-11-16,1739.8,4014.57
2015-11-17,1787.23,4086.22
2015-11-18,1810.48,4145.44
2015-11-19,1811.2,4111.24
2015-11-20,1826.72,4122.95
2015-11-23,1868.07,4213.47
2015-11-24,1810.05,4093.27
2015-11-25,1833.53,4171.32
2015-11-26,1828.3,4155.08
2015-11-27,1795.7,4078.01
2015-11-30,1771.05,4022.61
2015-12-01,1772.97,4024.32
2015-12-02,1770.13,4030.26
2015-12-03,1770.13,4064.63
2015-12-04,1755.22,3988.04
2015-12-07,1741.14,3954.5
2015-12-08,1718.77,3923.94
2015-12-09,1733.09,3935.64
2015-12-10,1732.89,3906.71
2015-12-11,1720.31,3872.32
2015-12-14,1708.7,3850.11
2015-12-15,1742.46,3901.91
2015-12-16,1754.71,3930.9
2015-12-17,1780.97,3988.51
2015-12-18,1780.97,3877.78
2015-12-21,1716.91,3856.92
2015-12-22,1723.35,3895.34
2015-12-23,1747.85,3942.33
2015-12-24,1742.71,3917.37
2015-12-25,1734.21,3898.53
2015-12-28,1731.2,3876.99
2015-12-29,1763.38,3943.91
2015-12-30,1761.36,3960.47
2016-01-04,1734.56,3909.7
2016-01-05,1754.13,3909.7
2016-01-06,1748.57,3918.66
2016-01-11,1682.54,3764.82
2016-01-12,1690.3,3771.1
2016-01-13,1684.78,3746.85
2016-01-14,1680.77,3730.11
2016-01-15,1608.36,3576.5
2016-01-18,1622.43,3612.97
2016-01-19,1645.56,3668.87
2016-01-20,1630.39,3622.94
2016-01-21,1677.19,3714.91
2016-01-22,1717.98,3824.09
2016-01-25,1716.56,3804.06
2016-01-26,1705.01,3773.32
2016-01-27,1747.57,3869.29
2016-01-28,1771.93,3909.76
2016-01-29,1784.92,3963.4
2016-02-01,1773.21,3942.84
2016-02-02,1758.26,3898.15
2016-02-03,1746.35,3889.99
2016-02-04,1787.93,3947.19
2016-02-05,1780.59,3941.51
2016-02-08,1744.27,3854.47
2016-02-09,1723.36,3788.84
2016-02-10,1730.83,3808.24
2016-02-11,1711.58,3751.38
2016-02-12,1726.04,3774.78
2016-02-15,1738.54,3802.9
2016-02-16,1753.86,3842.61
2016-02-17,1770.31,3887.95
2016-02-18,1807.21,3963.94
2016-02-19,1793.37,3924.8
2016-02-20,1793.37,3924.8
2016-02-22,1822.38,3987.84
2016-02-24,1797.27,3940.81
2016-02-25,1803.89,3977.35
2016-02-26,1816.73,4027.23
2016-02-29,1840.17,4084.24
2016-03-01,1844.17,4087.06
2016-03-02,1832.84,4052.34
2016-03-03,1858.69,4105.09
2016-03-04,1878.29,4161.93
2016-03-07,1909.57,4224.05
2016-03-09,1883.0,4180.86
2016-03-10,1884.63,4176.37
2016-03-11,1876.54,4174.73
2016-03-14,1865.31,4165.48
2016-03-15,1855.06,4157.64
2016-03-16,1871.2,4179.82
2016-03-17,1890.79,4243.42
2016-03-18,1914.02,4315.36
2016-03-21,1904.5,4273.97
2016-03-22,1903.47,4265.09
2016-03-23,1879.89,4207.42
2016-03-24,1866.67,4172.52
2016-03-25,1866.23,4174.78
2016-03-28,1849.31,4133.2
2016-03-29,1845.2,4105.62
2016-03-30,1868.1,4161.38
2016-03-31,1871.15,4167.68
2016-04-01,1856.77,4136.6
2016-04-04,1866.64,4141.62
2016-04-05,1857.09,4121.85
2016-04-06,1860.17,4147.98
2016-04-07,1858.85,4132.01
2016-04-08,1877.27,4196.88
2016-04-11,1906.9,4257.21
2016-04-12,1899.26,4244.51
2016-04-13,1932.8,4316.76
2016-04-14,1915.85,4260.34
2016-04-15,1907.78,4230.53
2016-04-18,1892.64,4206.73
2016-04-19,1930.14,4286.09
2016-04-20,1960.18,4356.08
2016-04-21,1950.08,4334.55
2016-04-22,1967.26,4363.32
2016-04-25,1955.47,4323.17
2016-04-26,1946.55,4277.49
2016-04-27,1934.77,4249.82
2016-04-28,1969.89,4317.0
2016-04-29,1953.05,4288.6
2016-05-04,1925.58,4214.36
2016-05-05,1906.48,4213.04
2016-05-06,1901.56,4165.42
2016-05-10,1885.34,4129.44
2016-05-11,1909.05,4196.99
2016-05-12,1901.9,4184.41
2016-05-13,1907.19,4182.25
2016-05-16,1915.33,4202.99
2016-05-17,1909.0,4201.13
2016-05-18,1917.24,4233.94
2016-05-19,1891.52,4192.54
2016-05-20,1891.33,4158.07
2016-05-23,1868.43,4130.96
2016-05-24,1884.12,4163.49
2016-05-25,1898.75,4196.04
2016-05-26,1914.31,4249.66
2016-05-27,1927.58,4273.95
2016-05-30,1935.54,4289.38
2016-05-31,1899.01,4243.13
2016-06-01,1893.18,4214.26
2016-06-02,1890.78,4216.81
2016-06-03,1886.84,4201.97
2016-06-06,1915.54,4278.82
2016-06-07,1951.26,4365.02
2016-06-08,1951.55,4363.94
2016-06-09,1934.92,4335.37
2016-06-10,1903.61,4283.23
2016-06-14,1885.92,4173.67
2016-06-15,1889.75,4201.08
2016-06-16,1869.78,4148.47
2016-06-17,1877.07,4187.58
2016-06-20,1902.7,4233.1
2016-06-21,1904.02,4230.07
2016-06-22,1896.7,4224.39
2016-06-23,1919.27,4294.01
2016-06-24,1884.41,4206.05
2016-06-27,1841.73,4106.7
2016-06-28,1857.23,4124.31
2016-06-29,1888.15,4196.67
2016-06-30,1891.09,4204.73
